Load images dataset/eroded-dilated_0.9: 96 
[71, 92, 69, 2, 54, 91, 31, 77, 51, 18, 15, 26, 34, 38, 16, 79, 61, 43, 76, 3, 42, 47, 36, 70, 55, 84, 9, 30, 10, 20, 49, 17, 73, 95, 72, 66, 12, 67, 8, 53, 82, 93, 23, 39, 80, 56, 37, 48, 81, 1, 5, 83, 29, 25, 41, 65, 62, 50, 59, 94, 14, 4, 64, 35, 11, 40, 89, 21, 32, 85, 57, 33, 19, 7, 63, 60, 86, 68, 75, 24, 87, 58, 74, 6, 52, 44, 45, 27, 28, 22, 78, 88, 13, 0, 46, 90]
Number of image in Train: 50 | Val: 46
Pretrained model: None
UNet: 101217 number of trainable parameters of model 
Using device: cuda
Starting training for 1000 epochs...
Epoch [1/1000]  train_loss: 35.6821  val_loss: 32.1818 iou:0.2706  time: 2.12s lr: 1.00E-03
Epoch [2/1000]  train_loss: 27.3432  val_loss: 31.8652 iou:0.2706  time: 1.76s lr: 1.00E-03
Epoch [3/1000]  train_loss: 23.7403  val_loss: 31.4287 iou:0.2706  time: 1.68s lr: 1.00E-03
Epoch [4/1000]  train_loss: 22.0041  val_loss: 30.8451 iou:0.6204  time: 1.85s lr: 1.00E-03
Epoch [5/1000]  train_loss: 21.2260  val_loss: 30.1020 iou:0.8197  time: 1.72s lr: 1.00E-03
Epoch [6/1000]  train_loss: 20.7659  val_loss: 29.2833 iou:0.8457  time: 1.81s lr: 1.00E-03
Epoch [7/1000]  train_loss: 20.4022  val_loss: 28.3976 iou:0.8433  time: 1.75s lr: 1.00E-03
Epoch [8/1000]  train_loss: 20.0485  val_loss: 27.4693 iou:0.8368  time: 1.70s lr: 1.00E-03
Epoch [9/1000]  train_loss: 19.7011  val_loss: 26.5433 iou:0.8328  time: 1.81s lr: 1.00E-03
Epoch [10/1000]  train_loss: 19.3660  val_loss: 25.5924 iou:0.8331  time: 1.65s lr: 1.00E-03
Epoch [11/1000]  train_loss: 19.0730  val_loss: 24.5649 iou:0.8369  time: 1.67s lr: 1.00E-03
Epoch [12/1000]  train_loss: 18.8114  val_loss: 23.4931 iou:0.8420  time: 1.82s lr: 1.00E-03
Epoch [13/1000]  train_loss: 18.5340  val_loss: 22.4665 iou:0.8457  time: 1.74s lr: 1.00E-03
Epoch [14/1000]  train_loss: 18.2800  val_loss: 21.5528 iou:0.8475  time: 1.81s lr: 1.00E-03
Epoch [15/1000]  train_loss: 18.0713  val_loss: 20.7645 iou:0.8504  time: 1.78s lr: 1.00E-03
Epoch [16/1000]  train_loss: 17.8788  val_loss: 20.0684 iou:0.8539  time: 1.77s lr: 1.00E-03
Epoch [17/1000]  train_loss: 17.6724  val_loss: 19.4286 iou:0.8554  time: 1.77s lr: 1.00E-03
Epoch [18/1000]  train_loss: 17.4636  val_loss: 18.8109 iou:0.8562  time: 1.95s lr: 1.00E-03
Epoch [19/1000]  train_loss: 17.2766  val_loss: 18.1834 iou:0.8565  time: 1.89s lr: 1.00E-03
Epoch [20/1000]  train_loss: 17.0953  val_loss: 17.5628 iou:0.8561  time: 1.73s lr: 1.00E-03
Epoch [21/1000]  train_loss: 16.9108  val_loss: 16.9988 iou:0.8554  time: 1.84s lr: 1.00E-03
Epoch [22/1000]  train_loss: 16.7440  val_loss: 16.5114 iou:0.8549  time: 1.67s lr: 1.00E-03
Epoch [23/1000]  train_loss: 16.5911  val_loss: 16.0885 iou:0.8546  time: 1.75s lr: 1.00E-03
Epoch [24/1000]  train_loss: 16.4317  val_loss: 15.7198 iou:0.8546  time: 1.92s lr: 1.00E-03
Epoch [25/1000]  train_loss: 16.2671  val_loss: 15.4000 iou:0.8548  time: 1.69s lr: 1.00E-03
Epoch [26/1000]  train_loss: 16.1080  val_loss: 15.1182 iou:0.8547  time: 1.79s lr: 1.00E-03
