Load images dataset/generated_cells: 102 
Number of image in Train: 82 | Val: 20
Pretrained model: None
Using device: cuda
Starting training for 500 epochs...
Epoch [1/500]  train_loss: 25.3751  val_loss: 12.6595 iou:0.0000  time: 1.33s lr: 1.00E-03
Epoch [2/500]  train_loss: 24.4736  val_loss: 12.6450 iou:0.0000  time: 0.89s lr: 1.00E-03
Epoch [3/500]  train_loss: 23.8723  val_loss: 12.6192 iou:0.0000  time: 0.92s lr: 1.00E-03
Epoch [4/500]  train_loss: 23.4549  val_loss: 12.5917 iou:0.0000  time: 0.85s lr: 1.00E-03
Epoch [5/500]  train_loss: 23.1781  val_loss: 12.5441 iou:0.0000  time: 0.80s lr: 1.00E-03
Epoch [6/500]  train_loss: 22.9560  val_loss: 12.4746 iou:0.0000  time: 0.87s lr: 1.00E-03
Epoch [7/500]  train_loss: 22.7577  val_loss: 12.4009 iou:0.0000  time: 0.92s lr: 1.00E-03
Epoch [8/500]  train_loss: 22.5571  val_loss: 12.3263 iou:0.0000  time: 0.96s lr: 1.00E-03
Epoch [9/500]  train_loss: 22.3780  val_loss: 12.2569 iou:0.0000  time: 0.86s lr: 1.00E-03
Epoch [10/500]  train_loss: 22.2066  val_loss: 12.1928 iou:0.0000  time: 0.85s lr: 1.00E-03
Epoch [11/500]  train_loss: 22.0387  val_loss: 12.1363 iou:0.0008  time: 0.89s lr: 1.00E-03
Epoch [12/500]  train_loss: 21.9279  val_loss: 12.0865 iou:0.0100  time: 0.91s lr: 1.00E-03
Epoch [13/500]  train_loss: 21.7771  val_loss: 12.0373 iou:0.0451  time: 0.89s lr: 1.00E-03
Epoch [14/500]  train_loss: 21.7158  val_loss: 11.9671 iou:0.1099  time: 0.89s lr: 1.00E-03
Epoch [15/500]  train_loss: 21.5820  val_loss: 11.8751 iou:0.1776  time: 0.91s lr: 1.00E-03
Epoch [16/500]  train_loss: 21.4297  val_loss: 11.7615 iou:0.2503  time: 0.93s lr: 1.00E-03
Epoch [17/500]  train_loss: 21.2235  val_loss: 11.6229 iou:0.3408  time: 0.93s lr: 1.00E-03
Epoch [18/500]  train_loss: 21.1080  val_loss: 11.4218 iou:0.4632  time: 0.95s lr: 1.00E-03
Epoch [19/500]  train_loss: 20.9756  val_loss: 11.1614 iou:0.6284  time: 0.99s lr: 1.00E-03
Epoch [20/500]  train_loss: 20.9059  val_loss: 10.7756 iou:0.7558  time: 0.99s lr: 1.00E-03
Epoch [21/500]  train_loss: 20.7473  val_loss: 10.4044 iou:0.8194  time: 1.08s lr: 1.00E-03
Epoch [22/500]  train_loss: 20.6795  val_loss: 10.2305 iou:0.8407  time: 1.00s lr: 1.00E-03
Epoch [23/500]  train_loss: 20.5704  val_loss: 10.1680 iou:0.8512  time: 1.00s lr: 1.00E-03
Epoch [24/500]  train_loss: 20.4425  val_loss: 10.1094 iou:0.8529  time: 1.00s lr: 1.00E-03
Epoch [25/500]  train_loss: 20.3843  val_loss: 9.9836 iou:0.8578  time: 1.12s lr: 1.00E-03
Epoch [26/500]  train_loss: 20.2063  val_loss: 9.8426 iou:0.8551  time: 1.10s lr: 1.00E-03
Epoch [27/500]  train_loss: 20.1168  val_loss: 9.7547 iou:0.8558  time: 1.07s lr: 1.00E-03
Epoch [28/500]  train_loss: 20.0026  val_loss: 9.6885 iou:0.8577  time: 1.10s lr: 1.00E-03
Epoch [29/500]  train_loss: 19.8901  val_loss: 9.6029 iou:0.8607  time: 1.13s lr: 1.00E-03
Epoch [30/500]  train_loss: 19.7888  val_loss: 9.4887 iou:0.8719  time: 1.12s lr: 1.00E-03
Epoch [31/500]  train_loss: 19.6707  val_loss: 9.4476 iou:0.8763  time: 1.12s lr: 1.00E-03
Epoch [32/500]  train_loss: 19.5882  val_loss: 9.4721 iou:0.8735  time: 1.09s lr: 1.00E-03
Epoch [33/500]  train_loss: 19.4805  val_loss: 9.5318 iou:0.8652  time: 1.08s lr: 1.00E-03
Epoch [34/500]  train_loss: 19.3565  val_loss: 9.5513 iou:0.8605  time: 1.01s lr: 1.00E-03
Epoch [35/500]  train_loss: 19.2674  val_loss: 9.4876 iou:0.8616  time: 0.97s lr: 1.00E-03
Epoch [36/500]  train_loss: 19.1318  val_loss: 9.4202 iou:0.8627  time: 1.09s lr: 1.00E-03
Epoch [37/500]  train_loss: 19.0324  val_loss: 9.3693 iou:0.8646  time: 1.11s lr: 1.00E-03
Epoch [38/500]  train_loss: 18.9110  val_loss: 9.2649 iou:0.8749  time: 1.08s lr: 1.00E-03
Epoch [39/500]  train_loss: 18.7974  val_loss: 9.1429 iou:0.8820  time: 0.98s lr: 1.00E-03
Epoch [40/500]  train_loss: 18.7191  val_loss: 9.1287 iou:0.8754  time: 1.10s lr: 1.00E-03
Epoch [41/500]  train_loss: 18.5817  val_loss: 9.1584 iou:0.8701  time: 1.11s lr: 1.00E-03
Epoch [42/500]  train_loss: 18.4826  val_loss: 9.0845 iou:0.8808  time: 0.99s lr: 1.00E-03
Epoch [43/500]  train_loss: 18.3949  val_loss: 8.9989 iou:0.8830  time: 0.99s lr: 1.00E-03
Epoch [44/500]  train_loss: 18.2661  val_loss: 8.9592 iou:0.8776  time: 0.99s lr: 1.00E-03
Epoch [45/500]  train_loss: 18.1399  val_loss: 8.8959 iou:0.8789  time: 1.00s lr: 1.00E-03
Epoch [46/500]  train_loss: 18.0559  val_loss: 8.8207 iou:0.8884  time: 0.98s lr: 1.00E-03
Epoch [47/500]  train_loss: 17.9480  val_loss: 8.8651 iou:0.8815  time: 0.96s lr: 1.00E-03
Epoch [48/500]  train_loss: 17.8327  val_loss: 8.8424 iou:0.8791  time: 0.97s lr: 1.00E-03
Epoch [49/500]  train_loss: 17.7315  val_loss: 8.7862 iou:0.8808  time: 1.08s lr: 1.00E-03
Epoch [50/500]  train_loss: 17.6037  val_loss: 8.7599 iou:0.8756  time: 1.07s lr: 1.00E-03
Epoch [51/500]  train_loss: 17.4880  val_loss: 8.7536 iou:0.8728  time: 1.09s lr: 1.00E-03
Epoch [52/500]  train_loss: 17.4022  val_loss: 8.7365 iou:0.8701  time: 1.09s lr: 1.00E-03
Epoch [53/500]  train_loss: 17.2896  val_loss: 8.7230 iou:0.8665  time: 1.06s lr: 1.00E-03
Epoch [54/500]  train_loss: 17.1938  val_loss: 8.6210 iou:0.8745  time: 0.97s lr: 1.00E-03
Epoch [55/500]  train_loss: 17.1531  val_loss: 8.5544 iou:0.8671  time: 1.08s lr: 1.00E-03
Epoch [56/500]  train_loss: 17.0119  val_loss: 8.4852 iou:0.8514  time: 1.08s lr: 1.00E-03
Epoch [57/500]  train_loss: 16.8767  val_loss: 8.4071 iou:0.8717  time: 0.98s lr: 1.00E-03
Epoch [58/500]  train_loss: 16.8414  val_loss: 8.4273 iou:0.8723  time: 0.98s lr: 1.00E-03
Epoch [59/500]  train_loss: 16.6658  val_loss: 8.8704 iou:0.7313  time: 1.08s lr: 1.00E-03
Epoch [60/500]  train_loss: 16.5829  val_loss: 8.5472 iou:0.8271  time: 1.09s lr: 1.00E-03
Epoch [61/500]  train_loss: 16.4727  val_loss: 8.3116 iou:0.8716  time: 1.04s lr: 1.00E-03
Epoch [62/500]  train_loss: 16.4081  val_loss: 8.2526 iou:0.8663  time: 1.14s lr: 1.00E-03
Epoch [63/500]  train_loss: 16.2691  val_loss: 8.4027 iou:0.7879  time: 1.12s lr: 1.00E-03
Epoch [64/500]  train_loss: 16.1879  val_loss: 8.1219 iou:0.8639  time: 1.10s lr: 1.00E-03
Epoch [65/500]  train_loss: 16.0511  val_loss: 8.0313 iou:0.8830  time: 1.09s lr: 1.00E-03
Epoch [66/500]  train_loss: 15.9471  val_loss: 7.9994 iou:0.8849  time: 1.08s lr: 1.00E-03
Epoch [67/500]  train_loss: 15.8591  val_loss: 7.9386 iou:0.8877  time: 1.05s lr: 1.00E-03
Epoch [68/500]  train_loss: 15.7464  val_loss: 7.8674 iou:0.8903  time: 1.03s lr: 1.00E-03
Epoch [69/500]  train_loss: 15.6365  val_loss: 7.8157 iou:0.8920  time: 1.00s lr: 1.00E-03
Epoch [70/500]  train_loss: 15.5481  val_loss: 7.8086 iou:0.8886  time: 0.99s lr: 1.00E-03
Epoch [71/500]  train_loss: 15.4407  val_loss: 7.8281 iou:0.8826  time: 1.00s lr: 1.00E-03
Epoch [72/500]  train_loss: 15.3455  val_loss: 7.7995 iou:0.8826  time: 1.13s lr: 1.00E-03
Epoch [73/500]  train_loss: 15.2412  val_loss: 7.7502 iou:0.8846  time: 0.99s lr: 1.00E-03
Epoch [74/500]  train_loss: 15.1499  val_loss: 7.6746 iou:0.8893  time: 0.99s lr: 1.00E-03
Epoch [75/500]  train_loss: 15.0672  val_loss: 7.5930 iou:0.8919  time: 1.03s lr: 1.00E-03
Epoch [76/500]  train_loss: 14.9489  val_loss: 7.5158 iou:0.8936  time: 1.02s lr: 1.00E-03
Epoch [77/500]  train_loss: 14.8501  val_loss: 7.4446 iou:0.8928  time: 1.00s lr: 1.00E-03
Epoch [78/500]  train_loss: 14.7608  val_loss: 7.4033 iou:0.8917  time: 0.98s lr: 1.00E-03
Epoch [79/500]  train_loss: 14.6535  val_loss: 7.3955 iou:0.8909  time: 0.97s lr: 1.00E-03
Epoch [80/500]  train_loss: 14.5620  val_loss: 7.3905 iou:0.8908  time: 1.09s lr: 1.00E-03
Epoch [81/500]  train_loss: 14.4657  val_loss: 7.3661 iou:0.8904  time: 1.10s lr: 1.00E-03
