depth,fls,annotation,sample,iou,time,param
1.0,4.0,1.0,50.0,0.9295604682775616,2161.4154307047525,1677.0
1.0,4.0,1.0,30.0,0.9094262089532612,3030.6701504389443,1677.0
1.0,4.0,1.0,10.0,0.879773768273291,3342.842634042104,1677.0
1.0,8.0,1.0,80.0,0.904184981922759,210.46777939796448,6489.0
1.0,8.0,1.0,50.0,0.9128983350378354,2274.6431136131287,6489.0
1.0,8.0,1.0,30.0,0.904780997569075,2836.8897302150726,6489.0
1.0,8.0,1.0,10.0,0.831802362554963,3437.932668924332,6489.0
1.0,16.0,1.0,80.0,0.8887821076434786,151.8705197175344,25521.0
1.0,16.0,1.0,50.0,0.9199698995823894,2200.2574014663696,25521.0
1.0,16.0,1.0,30.0,0.8910396676699094,3022.508119503657,25521.0
1.0,16.0,1.0,10.0,0.8592790386145204,2288.8234679698944,25521.0
1.0,32.0,1.0,80.0,0.9121552419721104,161.93529001871744,101217.0
1.0,32.0,1.0,50.0,0.9137233961971056,1388.832595904668,101217.0
1.0,32.0,1.0,30.0,0.9150259277372884,2671.633597215017,101217.0
1.0,32.0,1.0,10.0,0.8853727029718964,2277.474892059962,101217.0
1.0,64.0,1.0,80.0,0.9107630603693844,181.5474451382955,403137.0
1.0,64.0,1.0,50.0,0.923935300496482,1815.095667203268,403137.0
1.0,64.0,1.0,30.0,0.9041061590389932,2219.215520779292,403137.0
1.0,64.0,1.0,10.0,0.8580104017164857,3509.2301960786185,403137.0
2.0,4.0,1.0,80.0,0.8854468144440469,148.857444524765,7477.0
2.0,4.0,1.0,50.0,0.908924024937898,1934.1476120154064,7477.0
2.0,4.0,1.0,30.0,0.9142014490062076,3004.0993184248605,7477.0
2.0,4.0,1.0,10.0,0.8569775160004754,3336.2752107779183,7477.0
2.0,8.0,1.0,80.0,0.9184336748175844,279.24374572436017,29481.0
2.0,8.0,1.0,50.0,0.9087061313767602,1710.763681968053,29481.0
2.0,8.0,1.0,30.0,0.9284919681092596,2008.975304921468,29481.0
2.0,8.0,1.0,10.0,0.9022764172175184,3697.035166501999,29481.0
2.0,16.0,1.0,80.0,0.9130206121599894,169.96103191375732,117073.0
2.0,16.0,1.0,50.0,0.942009523019752,1288.969867626826,117073.0
2.0,16.0,1.0,30.0,0.924580599413828,2527.496527115504,117073.0
2.0,16.0,1.0,10.0,0.8892635659582542,2912.17135254542,117073.0
2.0,32.0,1.0,80.0,0.948848217452424,155.46380519866943,466593.0
2.0,32.0,1.0,50.0,0.9441044154632396,858.238923629125,466593.0
2.0,32.0,1.0,30.0,0.896820534219727,1768.5656012694042,466593.0
2.0,32.0,1.0,10.0,0.8918189007784069,2929.8885596593223,466593.0
2.0,64.0,1.0,80.0,0.9222550526137788,229.1346650918325,1862977.0
2.0,64.0,1.0,50.0,0.9398962762319646,2047.8125881354013,1862977.0
2.0,64.0,1.0,30.0,0.9423647608576264,2457.214872678121,1862977.0
2.0,64.0,1.0,10.0,0.9008562206480452,3068.145500342051,1862977.0
3.0,4.0,1.0,80.0,0.6928853842068338,145.219096104304,30469.0
3.0,4.0,1.0,50.0,0.9291933161854896,2193.797207991282,30469.0
3.0,4.0,1.0,30.0,0.894040986530617,2554.7096149126687,30469.0
3.0,4.0,1.0,10.0,0.8450213867692552,3564.7286077340445,30469.0
3.0,8.0,1.0,80.0,0.9361050784015306,224.44086186091104,121033.0
3.0,8.0,1.0,50.0,0.9528354731466464,2227.1811043421426,121033.0
3.0,8.0,1.0,30.0,0.9261569826862932,1974.4790937900543,121033.0
3.0,8.0,1.0,10.0,0.8962515614037795,2810.308913548788,121033.0
3.0,16.0,1.0,80.0,0.9293507023617938,167.4463206132253,482449.0
3.0,16.0,1.0,50.0,0.9488318019641788,1314.180527528127,482449.0
3.0,16.0,1.0,30.0,0.9424489239220024,2362.400154113769,482449.0
3.0,16.0,1.0,10.0,0.915483942151464,3141.692091941833,482449.0
3.0,32.0,1.0,80.0,0.9510551427416588,158.9346203804016,1926433.0
3.0,32.0,1.0,50.0,0.934059516980704,1257.828338464101,1926433.0
3.0,32.0,1.0,30.0,0.9072476174784232,3254.9629141489663,1926433.0
3.0,32.0,1.0,10.0,0.8869033457886752,3606.4128390947976,1926433.0
3.0,64.0,1.0,80.0,0.9255806492978138,258.2950623035431,7699009.0
3.0,64.0,1.0,50.0,0.9385422486774414,2178.973258336385,7699009.0
3.0,64.0,1.0,30.0,0.8922524168046118,1134.6963528792064,7699009.0
3.0,64.0,1.0,10.0,0.9190701262207916,2433.8553082942963,7699009.0
4.0,4.0,1.0,80.0,0.9049435308094766,186.8885106245677,122021.0
4.0,4.0,1.0,50.0,0.9255480972881543,2259.6197822888694,122021.0
4.0,4.0,1.0,30.0,0.9280889648784014,2582.313954591751,122021.0
4.0,4.0,1.0,10.0,0.8671024999523423,3621.644392649333,122021.0
4.0,8.0,1.0,80.0,0.9438870199878172,155.07105843226114,486409.0
4.0,8.0,1.0,50.0,0.9385017530123096,1499.2203256289165,486409.0
4.0,8.0,1.0,30.0,0.9148691016948608,2912.1617521444955,486409.0
4.0,8.0,1.0,10.0,0.921675251919596,2994.6492310365043,486409.0
4.0,16.0,1.0,80.0,0.9577628774586066,167.06787371635437,1942289.0
4.0,16.0,1.0,50.0,0.9278698153283242,1761.4343852202098,1942289.0
4.0,16.0,1.0,30.0,0.949134185733868,2440.133175770441,1942289.0
4.0,16.0,1.0,10.0,0.876226484453709,3265.4270038604736,1942289.0
4.0,32.0,1.0,80.0,0.9310710175237484,166.22354420026144,7762465.0
4.0,32.0,1.0,50.0,0.9480039052980408,2401.524875243505,7762465.0
4.0,32.0,1.0,30.0,0.945836540086924,2316.2895514965057,7762465.0
4.0,32.0,1.0,10.0,0.9002204473599539,2262.2714291413627,7762465.0
